This is a development document only and has no instructional or debugging value.

VIDEO
smoothstreaming Smooth Streaming Muxer
wve             Psion 3 audio
xa              Maxis XA
xbin            eXtended BINary text XBIN
xbm_pipe        piped xbm sequence
xmd             Konami XMD
xpm_pipe        piped xpm sequence
xwma            Microsoft xWMA
yop             Psygnosis YOP

sox,spdif,spx,tta,u16be,u16le,u24be,u24le,u32be,u32le,u8,voc,wav,wv,wsaud,mulaw,mxf,mxf_d10,mxf_opatom,oga,ogg,opus,oss,psp,rawvideo,s16be,s16le,s24be,s24le,s32be,s32le,s8,sbc,ilbc,ircam,latm,lrc,mp2,mp3,mlp,flac,g722,g723_1,g726,g726le,gsm,aac,caf,daud,dts,eac3,f32be,f32le,f64be,f64le,ac3,ac4,adts,aiff,alaw,amr,aptx,aptx_hd,argo_asf,argo_cvg,ast,au,a64,aa,aac,aax,acm,act,adp,adx,aea,afc,aiff,aix,alaw,alp,amr,amrnb,amrwb,apac,apc,ape,apm,aptx,aptx_hd,argo_asf,ast,au,bfstm,binka,bit,boa,bonk,brstm,caf,cavsvideo,codec2,codec2raw,daud,dfpwm,dsf,dss,dts,eac3,epaf,fsb,fwse,flac,f32be,f32le,f64be,f64le,g722,g723_1,g726,g726le,g729,hca,idf,ilbc,ircam,kux,kvag,laf,lavfi,loas,lrc,luodat,lvf,lxf,mca,mcc,megsts,mlp,mlv,mm,mmf,mods,moflex,mp3,mpc,mpc8,msf,msnwctcp,msp,mtaf,mulaw,musx,mxf,nc,nistsphere,nsp,oma,oss,paf,pam_pipe,pbm_pipe,pfm_pipe,pmp,pp_bnk,psxstr,pva,pvf,qcp,rka,rl2,rm,rpl,rso,rtp,s16be,s16le,s24be,s24le,s32be,s32le,s337m,s8,sap,sbc,sbg,scd,sdns,sdp,sds,sdx,siff,simbiosis_imx,sln,smk,smush,sol,sox,spdif,svag,svs,tak,thp,tierexseq,tta,tty,ty,u16be,u16le,u24be,u24le,u32be,u32le,u8,usm,vag,vidc,voc,vpk,vqf,w64,wady,wav,wavarc,wsaud,wsd,wsvqa,wv,wve,xa,xbin,xbm_pipe,xmd,xpm_pipe,xwma,yop

176

Total 406
